FID,OBJECTID,Complaint_,Latitude,Longitude,Hour_,ntaname
4254,1765,Noise - Vehicle,40.72357994,-73.97767177,1AM,Lower East Side
4257,1850,Noise - Vehicle,40.72275134,-73.97937127,2AM,Lower East Side
4287,2361,Noise - Vehicle,40.72125275,-73.97962426,6AM,Lower East Side
4302,2633,Noise - Vehicle,40.71526717,-73.98442017,9AM,Lower East Side
4341,3794,Noise - Vehicle,40.72909133,-73.97724057,6AM,Lower East Side
4377,126,Noise - Vehicle,40.80148664,-73.96612352,10AM,Morningside Heights
4379,170,Noise - Vehicle,40.80177109,-73.96287983,1AM,Morningside Heights
4380,317,Noise - Vehicle,40.80144697,-73.96213233,1AM,Morningside Heights
4392,895,Noise - Vehicle,40.80297085,-73.96386163,11PM,Morningside Heights
4406,1214,Noise - Vehicle,40.79995879,-73.9605259,10PM,Morningside Heights
4429,2280,Noise - Vehicle,40.80495061,-73.96653715,8PM,Morningside Heights
4436,2515,Noise - Vehicle,40.7993517,-73.95907791,10PM,Morningside Heights
4438,2625,Noise - Vehicle,40.80824988,-73.95845112,12AM,Morningside Heights
4481,4531,Noise - Vehicle,40.80430575,-73.96708651,12AM,Morningside Heights
4533,739,Noise - Vehicle,40.79890602,-73.96419973,10PM,Upper West Side
4540,991,Noise - Vehicle,40.79032972,-73.96751234,3PM,Upper West Side
4541,993,Noise - Vehicle,40.79802433,-73.97181019,1AM,Upper West Side
4545,1091,Noise - Vehicle,40.7878979,-73.96756408,12AM,Upper West Side
4548,1110,Noise - Vehicle,40.80012827,-73.96705607,4PM,Upper West Side
4558,1354,Noise - Vehicle,40.79272184,-73.97318841,7AM,Upper West Side
4570,1505,Noise - Vehicle,40.79298845,-73.97484959,11AM,Upper West Side
4614,2312,Noise - Vehicle,40.79753548,-73.97067631,3AM,Upper West Side
4618,2392,Noise - Vehicle,40.79178627,-73.9748681,2PM,Upper West Side
