FID,OBJECTID,Complaint_,Latitude,Longitude,Hour_,ntaname
1132,2294,Noise - Street/Sidewalk,40.71607243,-73.99823241,2AM,Chinatown
1133,2349,Noise - Street/Sidewalk,40.71346766,-73.99858238,12PM,Chinatown
1165,3068,Noise - Street/Sidewalk,40.71176566,-73.99232051,11PM,Chinatown
1171,3133,Noise - Street/Sidewalk,40.71176566,-73.99232051,12AM,Chinatown
1178,3326,Noise - Street/Sidewalk,40.72146258,-73.98852418,12AM,Chinatown
1180,3420,Noise - Street/Sidewalk,40.71461498,-73.99959599,11PM,Chinatown
1184,3427,Noise - Street/Sidewalk,40.71461498,-73.99959599,12AM,Chinatown
1224,4021,Noise - Street/Sidewalk,40.72066389,-73.98891754,3AM,Chinatown
1235,4251,Noise - Street/Sidewalk,40.71551214,-73.99069319,10AM,Chinatown
1252,4461,Noise - Street/Sidewalk,40.71551214,-73.99069319,8AM,Chinatown
1279,4969,Noise - Street/Sidewalk,40.72136648,-73.9882392,4AM,Chinatown
1283,11,Noise - Street/Sidewalk,40.85565068,-73.929412,11PM,Washington Heights North
1287,24,Noise - Street/Sidewalk,40.85885672,-73.92979179,11PM,Washington Heights North
1288,43,Noise - Street/Sidewalk,40.85885672,-73.92979179,11PM,Washington Heights North
1297,264,Noise - Street/Sidewalk,40.86102366,-73.92755894,6PM,Washington Heights North
1298,287,Noise - Street/Sidewalk,40.86175763,-73.92939106,10PM,Washington Heights North
1299,293,Noise - Street/Sidewalk,40.85608764,-73.93032249,10PM,Washington Heights North
1300,302,Noise - Street/Sidewalk,40.8634589,-73.92868065,12AM,Washington Heights North
1301,306,Noise - Street/Sidewalk,40.86327733,-73.92800478,10PM,Washington Heights North
1302,312,Noise - Street/Sidewalk,40.84862709,-73.93424121,10PM,Washington Heights North
1303,329,Noise - Street/Sidewalk,40.86325262,-73.92798673,11PM,Washington Heights North
1304,334,Noise - Street/Sidewalk,40.86150776,-73.92922502,1AM,Washington Heights North
1305,360,Noise - Street/Sidewalk,40.8515309,-73.93907838,10PM,Washington Heights North
1307,373,Noise - Street/Sidewalk,40.86201826,-73.92920279,12AM,Washington Heights North
1308,379,Noise - Street/Sidewalk,40.85559723,-73.92731903,12AM,Washington Heights North
1311,417,Noise - Street/Sidewalk,40.85716777,-73.92823191,12PM,Washington Heights North
1313,425,Noise - Street/Sidewalk,40.86365655,-73.9287202,3AM,Washington Heights North
1314,448,Noise - Street/Sidewalk,40.86365655,-73.9287202,4AM,Washington Heights North
1315,481,Noise - Street/Sidewalk,40.86365655,-73.9287202,4AM,Washington Heights North
1319,512,Noise - Street/Sidewalk,40.86150776,-73.92922502,11PM,Washington Heights North
1321,528,Noise - Street/Sidewalk,40.85427984,-73.93192214,10PM,Washington Heights North
1322,569,Noise - Street/Sidewalk,40.86111875,-73.92603322,4AM,Washington Heights North
1323,578,Noise - Street/Sidewalk,40.86146109,-73.92921784,4PM,Washington Heights North
1328,779,Noise - Street/Sidewalk,40.86182903,-73.92945605,10PM,Washington Heights North
1329,834,Noise - Street/Sidewalk,40.85490701,-73.92964414,2PM,Washington Heights North
1332,910,Noise - Street/Sidewalk,40.86292586,-73.92776655,12AM,Washington Heights North
1339,1046,Noise - Street/Sidewalk,40.85193745,-73.92998345,5PM,Washington Heights North
1341,1072,Noise - Street/Sidewalk,40.86292586,-73.92776655,11PM,Washington Heights North
1342,1078,Noise - Street/Sidewalk,40.86187082,-73.92606854,1AM,Washington Heights North
1344,1118,Noise - Street/Sidewalk,40.86292586,-73.92776655,11PM,Washington Heights North
1345,1119,Noise - Street/Sidewalk,40.85229511,-73.94135856,12AM,Washington Heights North
1346,1130,Noise - Street/Sidewalk,40.86292586,-73.92776655,9PM,Washington Heights North
1360,1503,Noise - Street/Sidewalk,40.86292586,-73.92776655,4PM,Washington Heights North
1366,1712,Noise - Street/Sidewalk,40.86292586,-73.92776655,11PM,Washington Heights North
1377,1927,Noise - Street/Sidewalk,40.86165878,-73.92932247,9PM,Washington Heights North
1384,2127,Noise - Street/Sidewalk,40.85490701,-73.92964414,10PM,Washington Heights North
1389,2201,Noise - Street/Sidewalk,40.85265556,-73.93291424,1AM,Washington Heights North
1403,2358,Noise - Street/Sidewalk,40.85265556,-73.93291424,12AM,Washington Heights North
1429,3183,Noise - Street/Sidewalk,40.85072806,-73.93650912,1AM,Washington Heights North
1436,3401,Noise - Street/Sidewalk,40.86292586,-73.92776655,9PM,Washington Heights North
1444,3626,Noise - Street/Sidewalk,40.86292586,-73.92776655,11PM,Washington Heights North
1447,3678,Noise - Street/Sidewalk,40.85710899,-73.9356029,1AM,Washington Heights North
1449,3692,Noise - Street/Sidewalk,40.86292586,-73.92776655,11PM,Washington Heights North
1453,3729,Noise - Street/Sidewalk,40.85783979,-73.9320414,5PM,Washington Heights North
1454,3749,Noise - Street/Sidewalk,40.85513626,-73.93687724,6AM,Washington Heights North
1455,3771,Noise - Street/Sidewalk,40.85552544,-73.93108582,1PM,Washington Heights North
1466,4249,Noise - Street/Sidewalk,40.85186221,-73.92815088,6PM,Washington Heights North
1471,4440,Noise - Street/Sidewalk,40.86292586,-73.92776655,11PM,Washington Heights North
1473,4442,Noise - Street/Sidewalk,40.8612585,-73.92566793,6AM,Washington Heights North
1485,5002,Noise - Street/Sidewalk,40.86292586,-73.92776655,11PM,Washington Heights North
1528,858,Noise - Street/Sidewalk,40.70956697,-74.00948633,12AM,Battery Park City-Lower Manhattan
1533,987,Noise - Street/Sidewalk,40.71777332,-74.014206,6PM,Battery Park City-Lower Manhattan
1554,1768,Noise - Street/Sidewalk,40.70980572,-74.00998773,11PM,Battery Park City-Lower Manhattan
1588,2505,Noise - Street/Sidewalk,40.70344595,-74.01159534,2AM,Battery Park City-Lower Manhattan
1589,2525,Noise - Street/Sidewalk,40.70895777,-74.00761785,10PM,Battery Park City-Lower Manhattan
1592,2646,Noise - Street/Sidewalk,40.70895777,-74.00761785,12AM,Battery Park City-Lower Manhattan
1608,3463,Noise - Street/Sidewalk,40.70514786,-74.00998343,7PM,Battery Park City-Lower Manhattan
1609,3465,Noise - Street/Sidewalk,40.70487888,-74.00982469,10PM,Battery Park City-Lower Manhattan
1612,3708,Noise - Street/Sidewalk,40.71150765,-74.00767946,2PM,Battery Park City-Lower Manhattan
1664,418,Noise - Street/Sidewalk,40.77895329,-73.98241214,4PM,Lincoln Square
